A000262,B000248,B000678,B000905,B001019,C000150,C000299,C000427,C000628,C000695,C000819,D000099,D000369,D000428,F000038,F000099,F000248,F000308,G000475,H000034,H000189,H000211,H000242,H000483,H000493,H000567,H000839,H000856,J000169,L000060,L000061,M000416,M000949,M000970,N000050,N000177,P000423,P000481,R000026,R000228,R000239,S000074,S000346,S000747,S000922,S001068,T000122,T000392,V000066,W000005,W000476,W000484,W000585,W000609,W000772,date,isAmendment,requires,result,title
Yea,Not Voting,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,,Nay,Nay,,Nay,Not Voting,Nay,1863-03-13,0,,unknown,
Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,,Not Voting,Yea,Yea,,Nay,Yea,Nay,,Nay,Nay,,Nay,Yea,Yea,1863-03-13,0,,unknown,
Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,,Yea,Nay,Yea,1863-03-13,0,,unknown,
Yea,Not Voting,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,,Nay,Yea,Yea,,Yea,Yea,,Nay,Yea,Yea,1863-03-13,0,,unknown,
Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,1863-12-07,0,,unknown,
Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,1863-12-16,0,,unknown,
Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,1863-12-17,0,,unknown,
Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Yea,1863-12-18,0,,unknown,
Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,1863-12-22,0,,unknown,hjres14
Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,1863-12-22,0,,unknown,s18
Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,1863-12-22,0,,unknown,
Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,,Not Voting,1864-01-05,0,,unknown,s37
Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Yea,,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,1864-01-06,0,,unknown,s37
Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,1864-01-12,0,,unknown,s36
Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Not Voting,1864-01-14,0,,unknown,s36
Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,1864-01-14,0,,unknown,s36
Yea,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,1864-01-14,0,,unknown,s36
Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,,Not Voting,1864-01-14,0,,unknown,s36
Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,Not Voting,1864-01-14,0,,unknown,s36
Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,,Not Voting,1864-01-14,0,,unknown,s36
Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,,Nay,Yea,Nay,Not Voting,,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,1864-01-14,0,,unknown,s36
Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Nay,Not Voting,,Not Voting,Nay,Not Voting,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,,Yea,1864-01-15,0,,unknown,s36
Yea,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,,Nay,1864-01-15,0,,unknown,s36
Nay,Not Voting,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,Yea,1864-01-15,0,,unknown,s36
Not Voting,Not Voting,,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,1864-01-15,0,,unknown,s36
Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,1864-01-15,0,,unknown,s36
Yea,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,1864-01-15,0,,unknown,s36
Nay,Not Voting,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Nay,1864-01-15,0,,unknown,s36
Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Nay,1864-01-15,0,,unknown,s36
Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,1864-01-16,0,,unknown,s36
Nay,Not Voting,,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,,Yea,1864-01-16,0,,unknown,s36
Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,Yea,Not Voting,,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,1864-01-16,0,,unknown,
Nay,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,1864-01-16,0,,unknown,s36
Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,1864-01-16,0,,unknown,s36
Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Not Voting,,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,1864-01-16,0,,unknown,s36
Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,Nay,Yea,Not Voting,,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,1864-01-16,0,,unknown,
Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,,Not Voting,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,1864-01-18,0,,unknown,s36
Yea,Not Voting,,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Nay,1864-01-18,0,,unknown,s36
Nay,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,1864-01-20,0,,unknown,
Nay,Not Voting,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Yea,1864-01-21,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,1864-01-25,0,,unknown,
